,5,4,3,1,0,2
61,110300.0,60600.0,6800.0,22500.0,63300.0,116000.0
62,110700.0,60900.0,6900.0,22600.0,64500.0,116500.0
63,110800.0,62700.0,7000.0,22800.0,82500.0,116800.0
64,112100.0,93700.0,7100.0,22900.0,91600.0,116900.0
65,114300.0,94500.0,7200.0,23900.0,91800.0,117400.0
66,115400.0,94900.0,7300.0,24600.0,92100.0,117800.0
67,115700.0,95900.0,7400.0,24800.0,92200.0,118500.0
68,115800.0,97400.0,7500.0,25500.0,92400.0,119400.0
69,115900.0,98000.0,7600.0,26100.0,93100.0,121800.0
70,117500.0,99500.0,7700.0,26300.0,93500.0,123300.0
71,118300.0,103100.0,7800.0,27000.0,93800.0,123400.0
72,118400.0,103900.0,7900.0,27200.0,94100.0,123600.0
73,119200.0,104200.0,8000.0,27600.0,94200.0,123800.0
74,119500.0,105400.0,8100.0,28200.0,94400.0,123900.0
75,119700.0,106400.0,8200.0,28400.0,94700.0,124100.0
76,119800.0,106700.0,8300.0,29000.0,95700.0,124200.0
77,121200.0,109500.0,8400.0,29500.0,95800.0,125600.0
78,121600.0,110000.0,8500.0,30300.0,96100.0,126100.0
79,122500.0,110400.0,8600.0,30700.0,96300.0,135400.0
80,123200.0,112200.0,8700.0,30900.0,96400.0,136900.0
81,124000.0,112400.0,8800.0,31100.0,96600.0,137000.0
82,126200.0,112600.0,8900.0,31200.0,96700.0,137600.0
83,135300.0,112900.0,9000.0,31500.0,97500.0,138300.0
84,136600.0,113200.0,9100.0,31600.0,97700.0,138400.0
85,138500.0,113400.0,9200.0,32100.0,97900.0,138800.0
86,138900.0,113600.0,9300.0,34900.0,98800.0,139200.0
87,139400.0,113700.0,9400.0,46600.0,99000.0,145900.0
88,151900.0,113800.0,9500.0,48700.0,100800.0,151800.0
89,153200.0,114100.0,9600.0,48800.0,102200.0,160300.0
90,153300.0,116300.0,9700.0,54600.0,102900.0,161800.0
91,154500.0,116400.0,9800.0,54700.0,103000.0,163200.0
92,155100.0,116700.0,9900.0,55900.0,103300.0,164400.0
93,160100.0,117000.0,10000.0,56200.0,103400.0,166200.0
94,162200.0,117200.0,10100.0,56300.0,103500.0,167900.0
95,163500.0,117300.0,10200.0,57100.0,103700.0,168100.0
96,165200.0,117700.0,10300.0,57700.0,104400.0,168200.0
97,165400.0,118000.0,10400.0,58600.0,105300.0,168800.0
98,166400.0,118100.0,10500.0,60100.0,105500.0,169700.0
99,167300.0,118600.0,10600.0,60700.0,105700.0,173800.0
100,168400.0,118900.0,10700.0,60800.0,106500.0,174700.0
101,170000.0,121400.0,10800.0,62000.0,107400.0,179300.0
102,170900.0,122300.0,11300.0,62200.0,107500.0,179500.0
103,171600.0,122700.0,11400.0,62500.0,108000.0,179600.0
104,174300.0,122800.0,11500.0,63400.0,108100.0,179800.0
105,174600.0,123500.0,11600.0,63900.0,108400.0,180300.0
106,176500.0,123700.0,11700.0,64000.0,108700.0,180500.0
107,176600.0,124300.0,11800.0,64100.0,109200.0,192000.0
108,176700.0,126600.0,11900.0,64200.0,109300.0,197700.0
109,179100.0,134700.0,12000.0,64300.0,109600.0,198100.0
110,179900.0,136700.0,12200.0,64400.0,109700.0,198200.0
111,180000.0,139000.0,12300.0,64700.0,109800.0,198500.0
112,180400.0,139300.0,12400.0,64800.0,110200.0,198900.0
113,180700.0,145700.0,12500.0,64900.0,110900.0,199100.0
114,180800.0,152100.0,13000.0,65000.0,111100.0,199400.0
115,180900.0,152800.0,13300.0,65100.0,111300.0,200100.0
116,181000.0,155600.0,13400.0,65200.0,111600.0,201000.0
117,181200.0,155900.0,14100.0,65300.0,111700.0,202800.0
118,181300.0,156000.0,14200.0,65400.0,111800.0,203700.0
119,196600.0,156100.0,15000.0,65500.0,112500.0,218400.0
